,Rank,Player,Pos,"Team Currently With","Age At Signing","Start Year","End Year",Yrs,Value,"Average Salary","Average pct of Cap At Sign","Guarantee at Sign","Practical Guarantee",Year
0,1,Patrick Mahomes,QB,"KC
KC",24,2020,2031,10,"$450,000,000","$45,000,000",22.70%,"$63,081,905","$141,481,905",qb
1,T2,Joe Burrow,QB,"CIN
CIN",26,2023,2029,5,"$275,000,000","$55,000,000",24.47%,"$146,510,000","$219,010,000",qb
2,T2,Trevor Lawrence,QB,"JAX
JAX",24,2024,2030,5,"$275,000,000","$55,000,000",21.53%,"$142,000,000","$200,000,000",qb
3,4,Justin Herbert,QB,"LAC
LAC",25,2023,2029,5,"$262,500,000","$52,500,000",23.35%,"$133,738,376","$218,738,376",qb
4,5,Lamar Jackson,QB,"BAL
BAL",26,2023,2027,5,"$260,000,000","$52,000,000",23.13%,"$135,000,000","$185,000,000",qb
5,6,Josh Allen,QB,"BUF
BUF",24,2021,2028,6,"$258,034,000","$43,005,667",23.56%,"$100,038,596","$150,000,000",qb
6,7,Jalen Hurts,QB,"PHI
PHI",24,2023,2028,5,"$255,000,000","$51,000,000",22.69%,"$110,000,000","$179,399,000",qb
7,8,Dak Prescott,QB,"DAL
DAL",31,2024,2028,4,"$240,000,000","$60,000,000",23.49%,"$129,000,000","$231,000,000",qb
8,9,Kyler Murray,QB,"ARI
ARI",24,2022,2028,5,"$230,500,000","$46,100,000",22.14%,"$103,300,000","$159,797,000",qb
9,10,Deshaun Watson,QB,"CLE
CLE",26,2022,2026,5,"$230,000,000","$46,000,000",22.09%,"$230,000,000","$230,000,000",qb
10,11,Jordan Love,QB,"GB
GB",25,2024,2028,4,"$220,000,000","$55,000,000",21.53%,"$100,800,000","$160,300,000",qb
11,12,Tua Tagovailoa,QB,"MIA
MIA",26,2024,2028,4,"$212,400,000","$53,100,000",20.79%,"$93,171,000","$167,171,000",qb
12,13,Jared Goff,QB,"DET
DET",29,2024,2028,4,"$212,000,000","$53,000,000",20.75%,"$113,611,000","$170,611,000",qb
13,14,Kirk Cousins,QB,"ATL
ATL",35,2024,2027,4,"$180,000,000","$45,000,000",17.62%,"$90,000,000","$100,000,000",qb
14,15,Matthew Stafford,QB,"LAR
LAR",33,2022,2026,4,"$160,000,000","$40,000,000",19.21%,"$63,000,000","$130,000,000",qb
15,16,Derek Carr,QB,"NO
NO",31,2023,2026,4,"$150,000,000","$37,500,000",16.68%,"$60,000,000","$100,000,000",qb
16,17,Aaron Rodgers,QB,"NYJ
NYJ",39,2023,2025,3,"$112,500,000","$37,500,000",16.68%,"$75,000,000","$75,000,000",qb
17,18,Baker Mayfield,QB,"TB
TB",28,2024,2026,3,"$100,000,000","$33,333,333",13.05%,"$40,000,000","$50,000,000",qb
