,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
0,Ja'Marr Chase,Bengals,2025,4,,"$161,000,000","$40,250,000","$109,800,000",,14.4%,,"$161,000,000","$40,250,000","$109,800,000"
1,Tyreek Hill,Dolphins,2022,4,,"$120,000,000","$30,000,000","$72,200,000",,14.4%,,"$160,922,190","$40,230,548","$96,821,518"
2,Jerry Rice,49ers,1996,5,,"$29,000,000","$5,800,000","$4,000,000",,14.2%,,"$198,679,852","$39,735,970","$27,404,117"
3,DeAndre Hopkins,Cardinals,2020,2,,"$54,500,000","$27,250,000","$49,400,000",,13.7%,,"$76,772,957","$38,386,478","$69,588,698"
4,Justin Jefferson,Vikings,2024,4,,"$140,000,000","$35,000,000","$110,000,000",,13.7%,,"$153,046,202","$38,261,551","$120,250,587"
5,Randy Moss,Vikings,2001,7,,"$63,536,000","$9,076,571","$18,000,000",,13.5%,,"$263,174,115","$37,596,300","$74,558,267"
6,Davante Adams,NYJ/LV,2022,5,,"$140,000,000","$28,000,000","$65,710,000",,13.4%,,"$187,742,555","$37,548,511","$88,118,309"
7,Calvin Johnson,Lions,2012,7,,"$113,450,000","$16,207,143","$53,250,000",,13.4%,,"$262,647,098","$37,521,014","$123,278,607"
8,Larry Fitzgerald,Cardinals,2011,7,,"$113,000,000","$16,142,857","$45,000,000",,13.4%,,"$262,094,289","$37,442,041","$104,373,832"
9,CeeDee Lamb,Cowboys,2024,4,,"$136,000,000","$34,000,000","$100,000,000",,13.3%,,"$148,673,453","$37,168,363","$109,318,716"
10,Cooper Kupp,Rams,2022,3,,"$80,100,000","$26,700,000","$75,000,000",,12.8%,,"$107,415,562","$35,805,187","$100,576,369"
11,A.J. Brown,Eagles,2024,3,,"$96,000,000","$32,000,000","$84,000,000",,12.5%,,"$104,945,967","$34,981,989","$91,827,721"
12,A.J. Brown,Eagles,2022,4,,"$100,000,000","$25,000,000","$57,220,471",,12.0%,,"$134,101,825","$33,525,456","$76,733,696"
13,Marvin Harrison,Colts,2004,7,,"$67,000,000","$9,571,429","$23,000,000",,11.9%,,"$232,141,173","$33,163,026","$79,690,253"
14,D.K. Metcalf,Steelers,2025,4,,"$131,999,529","$32,999,882","$80,000,471",,11.8%,,"$131,999,529","$32,999,882","$80,000,471"
15,Amon-Ra St. Brown,Lions,2024,4,,"$120,010,000","$30,002,500","$77,000,000",,11.7%,,"$131,193,391","$32,798,348","$84,175,411"
16,Brandon Aiyuk,49ers,2024,4,,"$120,000,000","$30,000,000","$76,000,000",,11.7%,,"$131,182,459","$32,795,615","$83,082,224"
17,Tyreek Hill,Dolphins,2024,3,,"$90,000,000","$30,000,000","$54,000,000",,11.7%,,"$98,386,844","$32,795,615","$59,032,106"
18,Julio Jones,TEN/ATL,2019,3,,"$66,000,000","$22,000,000","$64,000,000",,11.7%,,"$97,912,859","$32,637,620","$94,945,802"
19,D.K. Metcalf,Steelers,2022,3,,"$72,000,000","$24,000,000","$58,220,000",,11.5%,,"$96,553,314","$32,184,438","$78,074,083"
20,Stefon Diggs,BUF/HOU,2022,4,,"$96,000,000","$24,000,000","$70,000,000",,11.5%,,"$128,737,752","$32,184,438","$93,871,278"
21,D.K. Metcalf,Seahawks,2022,3,,"$72,000,000","$24,000,000","$58,220,000",,11.5%,,"$96,553,314","$32,184,438","$78,074,083"
22,Larry Fitzgerald,Cardinals,2004,6,,"$55,437,500","$9,239,583","$12,537,500",,11.5%,,"$192,079,497","$32,013,248","$43,439,850"
23,Deebo Samuel,SF/WAS,2022,3,,"$71,550,000","$23,850,000","$58,167,000",,11.5%,,"$95,949,856","$31,983,285","$78,003,009"
24,Jerry Rice,49ers,1998,6,,"$36,000,000","$6,000,000","$4,000,000",,11.5%,,"$191,860,731","$31,976,789","$21,317,859"
25,Terry McLaurin,Commanders,2022,3,,"$69,600,000","$23,200,000","$53,154,118",,11.1%,,"$93,334,870","$31,111,623","$71,280,642"
26,Jaylen Waddle,Dolphins,2024,3,,"$84,750,000","$28,250,000","$76,000,000",,11.1%,,"$92,647,612","$30,882,537","$83,082,224"
27,Randy Moss,Raiders,2005,4,,"$37,000,000","$9,250,000","$7,085,000",,10.8%,,"$120,823,392","$30,205,848","$23,136,047"
28,D.J. Moore,Bears,2024,4,,"$110,000,000","$27,500,000","$82,635,000",,10.8%,,"$120,250,587","$30,062,647","$90,335,521"
29,A.J. Green,Bengals,2015,4,,"$60,000,000","$15,000,000","$26,750,000",,10.5%,,"$116,917,923","$29,229,481","$52,125,907"
30,Percy Harvin,NYJ/SEA,2013,5,,"$64,217,500","$12,843,500","$25,500,000",,10.4%,,"$145,768,504","$29,153,701","$57,882,927"
31,Tee Higgins,Bengals,2025,4,,"$115,000,000","$28,750,000","$40,900,000",,10.3%,,"$115,000,000","$28,750,000","$40,900,000"
32,Michael Thomas,Saints,2019,5,,"$96,250,000","$19,250,000","$60,989,043",,10.2%,,"$142,789,586","$28,557,917","$90,478,963"
33,Antonio Brown,Steelers,2017,4,,"$68,000,000","$17,000,000","$19,000,000",,10.2%,,"$113,686,228","$28,421,557","$31,765,269"
34,Odell Beckham Jr.,CLE/NYG,2018,5,,"$90,000,000","$18,000,000","$65,000,000",,10.2%,,"$141,805,869","$28,361,174","$102,415,350"
35,Keenan Allen,CHI/LAC,2020,4,,"$80,100,000","$20,025,000","$50,000,000",,10.1%,,"$112,835,116","$28,208,779","$70,433,905"
36,Amari Cooper,BUF/DAL/CLE,2020,5,,"$100,000,000","$20,000,000","$60,000,000",,10.1%,,"$140,867,810","$28,173,562","$84,520,686"
37,Steve Smith Sr.,Panthers,2007,3,,"$32,700,000","$10,900,000","$15,300,000",,10.0%,,"$83,760,000","$27,920,000","$39,190,459"
38,Julio Jones,Falcons,2015,5,,"$71,250,000","$14,250,000","$47,000,000",,9.9%,,"$138,840,034","$27,768,007","$91,585,706"
39,D.J. Moore,CHI/CAR,2022,3,,"$61,884,000","$20,628,000","$41,610,000",,9.9%,,"$82,987,573","$27,662,524","$55,799,769"
40,Kenny Golladay,Giants,2021,4,,"$72,000,000","$18,000,000","$40,000,000",,9.9%,,"$110,150,137","$27,537,534","$61,194,521"
41,Allen Robinson,Bears,2021,1,,"$17,980,000","$17,980,000","$17,880,000",,9.9%,,"$27,506,937","$27,506,937","$27,353,951"
42,Marvin Harrison,Colts,2000,4,,"$24,480,000","$6,120,000","$11,500,000",,9.8%,,"$109,933,990","$27,483,497","$51,643,827"
43,DeVonta Smith,Eagles,2024,3,,"$75,000,000","$25,000,000","$69,997,554",,9.8%,,"$81,989,037","$27,329,679","$76,520,427"
44,Demaryius Thomas,Broncos,2015,5,,"$70,000,000","$14,000,000","$43,500,000",,9.8%,,"$136,404,243","$27,280,849","$84,765,494"
45,Dez Bryant,Cowboys,2015,5,,"$70,000,000","$14,000,000","$45,000,000",,9.8%,,"$136,404,243","$27,280,849","$87,688,442"
46,Demaryius Thomas,Texans,2015,5,,"$70,000,000","$14,000,000","$43,500,000",,9.8%,,"$136,404,243","$27,280,849","$84,765,494"
47,Mike Wallace,MIN/MIA,2013,3,,"$60,000,000","$12,000,000","$30,000,000",,9.8%,,"$136,195,122","$27,239,024","$68,097,561"
48,DeAndre Hopkins,HOU/ARI,2017,5,,"$81,000,000","$16,200,000","$49,000,000",,9.7%,,"$135,420,359","$27,084,072","$81,920,958"
49,Davante Adams,Packers,2022,1,,"$20,145,000","$20,145,000",$0,,9.7%,,"$27,014,813","$27,014,813",$0
50,Joey Galloway,Cowboys,2000,7,,"$42,000,000","$6,000,000","$12,500,000",,9.7%,,"$188,612,237","$26,944,605","$56,134,594"
51,Mike Williams,Chargers,2022,3,,"$60,000,000","$20,000,000","$40,000,000",,9.6%,,"$80,461,095","$26,820,365","$53,640,730"
52,Chris Godwin,Buccaneers,2022,3,,"$60,000,000","$20,000,000","$40,000,000",,9.6%,,"$80,461,095","$26,820,365","$53,640,730"
53,Tyreek Hill,Chiefs,2019,3,,"$54,000,000","$18,000,000","$35,260,000",,9.6%,,"$80,110,521","$26,703,507","$52,309,203"
54,Brandin Cooks,Texans,2022,2,,"$39,764,706","$19,882,353","$39,000,000",,9.5%,,"$53,325,197","$26,662,598","$52,299,712"
55,Nico Collins,Texans,2024,3,,"$72,750,000","$24,250,000","$52,116,000",,9.5%,,"$79,529,366","$26,509,789","$56,972,542"
56,Vincent Jackson,Chargers,2011,1,,"$11,424,000","$11,424,000","$11,424,000",,9.5%,,"$26,497,037","$26,497,037","$26,497,037"
57,Tyler Lockett,Seahawks,2021,4,,"$69,200,000","$17,300,000","$37,000,000",,9.5%,,"$105,866,521","$26,466,630","$56,604,932"
58,Alshon Jeffery,Bears,2016,1,,"$14,599,000","$14,599,000","$14,599,000",,9.4%,,"$26,251,309","$26,251,309","$26,251,309"
59,Tee Higgins,Bengals,2025,1,,"$26,179,200","$26,179,200","$26,179,200",,9.4%,,"$26,179,200","$26,179,200","$26,179,200"
60,Mike Evans,Buccaneers,2018,5,,"$82,500,000","$16,500,000","$55,008,000",,9.3%,,"$129,988,713","$25,997,743","$86,671,747"
61,Vincent Jackson,Buccaneers,2012,5,,"$55,555,555","$11,111,111","$26,000,000",,9.2%,,"$128,616,177","$25,723,235","$60,192,371"
62,Brandin Cooks,HOU/LAR,2018,5,,"$81,000,000","$16,200,000","$50,459,000",,9.1%,,"$127,625,282","$25,525,056","$79,504,248"
63,"Michael Pittman, Jr.",Colts,2024,3,,"$70,000,000","$23,333,333","$46,000,000",,9.1%,,"$76,523,101","$25,507,700","$50,286,609"
64,Dwayne Bowe,Chiefs,2013,5,,"$56,000,000","$11,200,000","$26,000,000",,9.1%,,"$127,115,447","$25,423,089","$59,017,886"
65,T.Y. Hilton,Colts,2015,5,,"$65,000,000","$13,000,000","$39,000,000",,9.1%,,"$126,661,083","$25,332,217","$75,996,650"
66,A.J. Green,Bengals,2020,1,,"$17,971,000","$17,971,000","$17,971,000",,9.1%,,"$25,315,354","$25,315,354","$25,315,354"
67,Sammy Watkins,Chiefs,2018,3,,"$48,000,000","$16,000,000","$30,000,000",,9.0%,,"$75,629,797","$25,209,932","$47,268,623"
68,Jarvis Landry,Dolphins,2018,1,,"$15,982,000","$15,982,000",$0,,9.0%,,"$25,181,571","$25,181,571",$0
69,Jarvis Landry,Browns,2018,1,,"$15,982,000","$15,982,000","$15,982,000",,9.0%,,"$25,181,571","$25,181,571","$25,181,571"
70,Calvin Ridley,Titans,2024,4,,"$92,000,000","$23,000,000","$50,000,000",,9.0%,,"$100,573,218","$25,143,305","$54,659,358"
71,Antonio Brown,Raiders,2019,3,,"$50,125,000","$16,708,333","$30,125,000",,8.9%,,"$74,361,849","$24,787,283","$44,691,286"
72,Calvin Johnson,Lions,2007,6,,"$58,000,000","$9,666,667","$27,170,800",,8.9%,,"$148,565,138","$24,760,857","$69,597,132"
73,Stefon Diggs,Texans,2024,1,,"$22,520,000","$22,520,000","$22,015,000",,8.8%,,"$24,618,575","$24,618,575","$24,066,515"
74,Diontae Johnson,BAL/HOU/CAR/PIT,2022,2,,"$36,710,000","$18,355,000","$27,000,000",,8.8%,,"$49,228,780","$24,614,390","$36,207,493"
75,Chris Godwin,Buccaneers,2021,1,,"$15,983,000","$15,983,000","$15,983,000",,8.8%,,"$24,451,801","$24,451,801","$24,451,801"
76,Davante Adams,Packers,2017,4,,"$58,000,000","$14,500,000","$18,000,000",,8.7%,,"$96,967,665","$24,241,916","$30,093,413"
77,Andre Johnson,Texans,2003,6,,"$38,960,000","$6,493,333","$9,000,000",,8.7%,,"$145,021,558","$24,170,258","$33,500,873"
78,Christian Kirk,JAX/HOU,2022,4,,"$72,000,000","$18,000,000","$37,000,000",,8.6%,,"$96,553,314","$24,138,329","$49,617,675"
